,text
395,산발적 비리자. 감옥이 가까워 보입니다. 가족 전부요.
396,"박형준 어처구니 없는건 당신이다
자신 집도 없이 산다는분의 자산이 100억이 넘는다며???
다른 말로 물타기하지말고
검증이나 제대로하자"
397,"선택적 기억자~~ㅋㅋ
엘시티나 사찰은 기억이 안나나
다른건 기억이 잘나는 특이한 놈 ㅋ"
398,"민주당 헛발질은 잘못한 거지만 그런다고 당신의 비리가 사라지는 게 아니에요... 사찰을 승인한 게 없어지는 것도 아니고 엘시티 의혹이 풀리는 것도 아니고....

MB 나쁜 점만 고대로 배운 오세훈 박형준.... 시장 후보로 나오는 뻔뻔함은 배울만 하네요."
399,메인걸리는게 죄다 저것들 변명
400,참 부끄럽다. 너같은 놈이 제1야당의 후보라니. 어찌 두 놈 다 그러냐
401,"MB도 박형준 한테 한수 접어야 할판
그동안 MB 아바타라고 놀렸던 것 사과한다.
부동산 업계의 일대종사라 불려도 손색없는분
그래도 불법을 한만큼 죄값을 치러야지"
402,이사람은 시장이된다해도 다시재보궐선거 치를것같다~~
403,"오세훈이 어떻다고요? 박형준이 어떻다고요?
쌔빨간 거짓말 입니다. 여러분.
그들은 그러한 쌂을 살아오지 않았습니다.
그건 마 ~ 제가 정직하게 보증합니다.
등록금 마련하느라 허리가 휘었다... 임차평균 24만원이다... 측량장소에 내가 있었다는 게 본질이 아니다...
나는 서울에 집이 없다... 우리 아이도 집이 없다... 조국은 청년층에게 박탈감을 줬다...
국짐당의 비리는 당연한 욕망이고 그 수준에 미치지 못하는 민주당의 비리는 위선이라는 이중잣대로 보궐과 대선 국짐당 압승 밀어주씨면 마 언론+검찰+싸법부+사학+국짐 가즈~아."
404,"앤 mb보다 더 복잡해,,,,,,,"
405,"정권심판에 MB수하??
형준아 미안한데
박양은 뭘했지!!?명박이는??
심판??전두환때부터 있어온 비리가
이제 터진거뿐이야 LH비리는 그때부터 있다가
이제 드러난거야

네 양딸은 어떤 소득으로 20대에
그 집을 샀지!?증빙해"
406,"이런놈 입에서 정의 라는 단어가 나오고
뻔뻔하다 명바기처럼"
407,"이렇게 문제가 많은 후보를 본적이 없다
국힘당은 그렇게 인물이 없나?
참mb스럽네..."
408,뻔뻔하기가.. 인간인지싶다..
409,이건 우연히 기억이 나나봐 ? ㅋㅋㅋㅋ
410,"지나가던 30대 여성은 뉴스를 안봤나보네.
부산지역에 특혜 안 누린게 도대체 어디냐
드러난 것만
앨시티 두 채 특혜
조형물 납품 특혜
해운대 금싸라기땅 특혜
등기 등록 안한 건물
자녀 입학 청탁
특혜 아닌 걸 찾는게 빠를 듯..."
411,중앙일보는 언론을 병들게하는 바이러스다
412,"어떡하든지 현정권을 까내리고,불안감을 조성할려고 하는 중앙이 싫다.  그럴 시간 있으면  독도검정교과서 승인 통과시킨 일본 까는 기사나 내라  이 망할놈의  요미우리 서울지사 신문아~~"
413,중앙은 역시나 🐕 죠. ^^
414,"중앙 기레기야............... 인도가 인국가 몇억이냐??.......... 지금 세계 3위 감염국이다!

그나라에서 생산된 백신이.... 국경을 넘어서 나올수 있다고 생각하니???..... 정말 중앙일보엔 멍청이들만 있나보네??"
415,망해라 망해라 고사를 지내는 구만. 불쌍하다!!!
416,"6월초에 백신 쏟아진다
노바백스 한댤에 천만개 만들고
결국 스케줄대로 간다"
417,"중국 텐센트 돈 천억 받아 쳐먹고
설중화 같은  북한남파 간첩이 한국 민주주의 해줬다는
북조선의 형제 중국표 드라마나 만드는 jtbc의 본산 빨갱이 중앙일보

돈 천억에 넘어가 중국몽의 실현에 앞장서서 
한국 민주주의 훼손하고 중국 공산당 찬양하는 드라마나 만드는 중앙일보

중앙일보 사주의 아버지는 이승만때 4.19 의거로 부정선거 항의하는
어린 항생들의 가슴에 총을 쏘라고 발포 명령했던 바로 그 인간

토착왜구 짓으로 돈 벌더니
이젠 중국 공산당 편들어 동북공정에 협조하는
짐승만도 못한 매국노들이 모인 중앙일보는 반드시 몰아내자"
418,"80여 년
왜구잡종
강점용
안보, 지역, 이념, 의혹팔이와
사이비와 토왜 주장과 소원대로라면

1억 번
경제 폭망했고
전쟁 낫고
빨갱이 나라 됐고
온 국민이 역병 걸려 죽어야 했다
쓰레기들....."
419,그럼 만들지를 마
420,이 정도로 몸에 해로우면 제조/판매/유통금지 시켜야지...
421,"먹어란 말인냐 
먹지 말란 거냐.

특히 아이들이
좋아하는건데.

그리 심각하다면
판매하면 안되지

기레기들 기사보다
식품회사를 믿는다..."
422,독일 사람들도 오래 살던데말야...뭐냐...
423,"미국,호주사람은 전멸했겠네????"
424,작작해라
425,식당하는소상공인입니다 반찬으로햄반찬줄줄이햄볶을때는 뜨거운물에 살짝담가놨다가헹궈서봌아요그럼괞찮아요  근데삶아낸물을보면 정말손님들주기싫어요
426,미국이랑 독일 사람은 다 죽은겨??
427,독일을비롯해 유럽각국은 어째??다죽었게??똥기자야~~!!!!
428,국민학교 때 울 엄마는 나 죽으라고 비엔나 소세지 볶아서 케찹 뿌려서 도시락 싸준건가
429,가공육을 좀 건강한 재료로 만들면 안되나...
430,"입만 열면 구라네
진짜 토착왜구네

이러면서 감성팔이에  선전선동이니
이래서 좌파들이 문제야"
431,애쓴다
432,데일리안 = 국민의힘 ㅋㅋㅋ
433,추미애 도움연설하면 오세훈 더 좋아질낀데...
434,"박영선은 도쿄아파트 이야기만 나오면 이먕박정부때 남편이 탄압받아서 
일본으로 갔다고 했는데 그때부터 참으로 어이없는 거짓말이라고 느꼈었다"
435,"남탓은 이 정당의 정훈인가
그냥 무조건 전정권탓"
436,"기르에기 양반..
전직 대통령도 죽음으로 모는 정권이었는데..이명박때문에 옮겼다고 말하면 저 사람이 잘 살 수 있었을까?
좀 생각을 하고 기사를 씁시다!!"
437,"자택은 도쿄.. 신랑은 미국인...애들도 미국인... 지지 호소 세력은  조선족....

이 아주머니  뭐지...."
438,탄압으로 여론몰이를 하는거 보니 급하기는 했나보다.
439,"박영선이는 선거법 위반으로 고발되어야 하는거 아니야?
한국에서 일을 못해서 일본으로 간게 아니라
한국에서 일할수 있는 해외로펌에 들어가려고 동경지사를 선택했고
임대료 지원되는데도 불구하고 동경에 집사고
활동은 한국에서 하면서 일본집 유지해서 일본에 세금 잘 냈다는 거잖아
이게 친일파고 토착왜구지 
일본을 극도로 싫어하면 비행기 시간 조금 더 걸려고 홍콩을 택했을건데
굳이 일본 동경을 택한 이유가 뭘까?
회사에서 주는 임대료로 살면될걸 일본이 싫다면서
굳이 일본에 집을 사서 일본 정부에 꼬박꼬박 세금을 낸 이유가 뭘까?
답은 위선자"
440,"기레기... 진짜 문제다... 국민이 사실을 다 아는데... 쉴드 그만쳐라.. 
언론개혁되면 없어질 찌라지다..."
441,토착왜구를 딴데서 찾지말라.  더불당 박후보와 그의 남편이 바로 악질 토착왜구다
442,탄압때문이었으면 정치시작하셨을때라도 일본집 팔지 그러쎴어요
443,"박영선 남편 이 mb대문에 일본 간다구 해면 
기레기내놈들 이 제대로 기사 쓰겠냐 ??"
444,"탄압?ㅋㅋㅋ
요즘세상에  탄압이 가능하고
탄압받고 가만있을 넘들이냐,,ㅋㅋ"
445,좌파들의 거짓말
446,"박영선의 남편인 이원조는 대한민국에서 활동하는 미국 변호사로, 2019년 청문회를 앞두고 43억 원의 재산을 신고했다. 종합소득세 2천400여만원을 인사청문요청안 제출 하루 전인 2019년 3월 12일 납부해 논란이 됐다.
얍삽한 대한 미국 니뽕인."
447,언제는 실거주 목적이라더니......임대했다며?   그리고 구로 주민인척하더니 연희동주민이시고......다음에 서울 시장떨어지면 서대문서 나와라 구로와서 깝죽대지말고....
448,데일리안이 진짜 언론답다  우짜든지 사실확인해야지  오세훈 박형준은  확인할필요없구 네거티브로 돌리면되는거구  맞지?
449,아 정말 잔인하다.왜 세상은 이래야 하는는지
450,"대한민국도 안전지대가 무너지기 전에 국민들이 생각을 넓혀야 합니다

내 자녀는 아니겠지 내 남편은 아니겠지 내 아내는 아니겠지 하는 생각을 다시 한번 점검해서 다음세대 에게 건강한 나라를 물려 줍시다"
451,"지구 곳곳에서 

인종차별을 비롯 ,

""인간성말살 시대"" 가 

시작되고 있다 

ㅠ
ㅠ
ㅠ"
452,인간의 탈을 쓴 악마들이 넘 많다ㅡ.
453,불법 ㅋㅋ 오지 말라고 ㅋ
454,아무것도 모르는 저 어린것들을 저렇게 높은곳에서 ㅠㅠ 눈물나네 진짜 돈만생각하는 버러지들은 다 사라졌으면
455,인간이 아니구나.
456,투표를 잘 해야 이런 일을 막을 수 있습니다.   돈 있고 명예있는 자들보다 정직한 사람들이 필요합니다.
457,미국이란 나라 있어 그나마 다행입니다.
458,브로커들은 완전 인간 쓰레기들이구만
459,"전세계인간들은 돈에 눈이 멀어서 살아가고있다
욕심이 많은 인간"
460,어휴... 저 어린것들이 무슨 잘못이라고 저렇게 집어던지냐.. ㅠㅠ 줄로 매달아서 내려주기라도 하지...
461,이걸보고투표를잘해야한다..정신바짝.나라가무너지는건한순간
462,"인간은 간사하고 나약하고 이기적인 동물..
삶은 고통..태어나지 않는게 가장 큰 행복.."
463,인간이 제일 잔인하다
464,종업원한테충분한보상해야할듯!
465,이게 뭐라고 감동스럽냐 엉엉
466,큰 복받을겁니다.
467,"아 씨 기레기들아, 제목에 나라 이름 좀 쓰라고.
그게 그렇게 어려워?
뭐 기레기 니들이게는 세계는 하나 뭐 그런 거냐?
글쓰기 기본, 육하원칙도 안 배웠냐?
이 근본 없고 무식한 것들아."
468,저도 아기때 사탕먹다 걸려서 숨넘어가는걸 옆집아주머니가 뒤집어서 등두드리니 사탕튀어나오고 살았다더라구요 여튼 저분의 기지로 아이가 살수있었네요ㅠㅠ
469,몸이 작은 애들은 저렇게 땅을 보게 하고들어서 등을 두드리면 됩니다
470,저 직원분 배운 분.
471,오새훈이 광고좀 안보이게 해주라 쫌!!!
472,어떤 직업이든 위기상황에 대처할수 있는 메뉴얼과 비상상황을 염두해 두고 훈련과 교육을 충분히 시킬 필요가 있음
473,진짜  생명의 은인이네
474,저 부모는 얼마나 하늘이 노랗게 보였을까~ 참 다행이네~
475,세상에 얼마나 놀라셨을까요. 고기처럼 부드러운건 진짜 안나오더라구요.  울 둘때도 족발 먹다 목에 걸렸는데 하임리히를 아무리해도 안나와서 정말 죽는 줄 알았어요.  한참후에 나오긴했지만 생각보다 진짜 오랜시간 안나오더라구요.  그래도 나왔으니 얼마나 다행인가요.
476,"심폐소생술이나 이런 응급처치법은
학교에서부터 가르쳐야한다고 봄
아이가 무사해서 다행입니다~"
477,하인리히법을  배워야  합니다  ㅠㅠ
478,식당직원한테는 고맙다는 말도 안하냐?
479,아가 천천히  꼭꼭 씹어 먹어라  큰일날뻔 했잖니
480,경찰이 압수한걸ㅋㅋㅋㅋ언론은 검찰이 수사해서압수한건지 알겠네
481,검찰자산운용... 검찰투자자문회사 차려라 ㅋㅋ 검찰펀드 .. 수익률 최고네
482,음란영상이면 피해자가 있을텐데 피해자에게 줘야하는거 아냐?
483,‼️몹쓸인간 ~~ 빽바지생태오세후니 ~!!
484,골고루 웃기고있네ㅋㅋㅋ
485,"검찰이
봐주기 수사로 국고.손실 입힌것이 헐신 많다
법조 기레기들 빨아주다고 이빨 남아 있나"
486,"이런 기사가 바로 메인에 뜨는 알고리즘 원리가
대체 뭘까????"
487,"분할매도로 수익율까지 챙겼으면 국민연금보다 훨씬 잘 운용한듯.....
차라리 그분이 국민연금 운용하면 안될까????"
488,네이버  다음  망할것 같아요 ㅠ
489,베리 나이스.
490,소주는 건들지말자
491,"세금이 올랐으니
다 오르겄지~~~~~"
492,대기업만 먹고사는 세상~~
493,본인들이 더 많이 올리면서ㅋㅋ
494,"응원합니다 지금 같은 시국에 가격을 인상하는 물품은 전품목 자영 업자들이 뭉쳐서 구매 판매 를 중지 해야합니다. 우리 민족은 어려울때 더 똘똘 뭉치는 민족이지 어려울때 득을 취하던 민족이 아닙니다.
자영업자들이여 똘똘 뭉칩시다."
495,"100원올리면 술집에서는 1000원 올리는데,,,,"
496,말도안되는 여론조사에 속은 대기업ㅋㅋ
497,카스보다는 테라가....맛과 상쾌함이 좋아...
498,카스공장 헐고 아파트짓자
499,"애기들한테도 벌써부터
좌익 물들이하는겨
대단한  더블어 만져 터진당이구먼
몹쓸 인간들~"
500,명백한 선거법위반이다. 위반을 밥먹듯이 하는 민주당. 이건은 강력한 선거법위반 처벌을 하여야한다
501,"민주당이것들은 선거법위반 
밥먹드시해대는구나"
502,일본 아줌마는 도쿄 시장 선거 나가지 왜 서울 시장으로 나오지?
503,"미성년자가 선거운동을 하다니...
법대로 처리해야 마땅하다."
504,댁들이 하는건 실수이고 남들이 하는건 적폐이지요.
505,어찌고2학년을선거유세??
506,선거법 위반으로 끝아닌가?ㅋㅋ
507,영선이가 최악이다
508,서툴다 서툴어~~
509,각보대로 했는가보다.고등학생까지 끌어들이고..자알들 한다..
510,"참으로  기가 막히네요.  아무리 시궁창같은 정치바닥이지만 아직 가치관이 정립되지않은 고등학생을 이용해 선동정치를 하다니..... 당신네들은 거짓 선전, 선동이 주특기지만 이건 아니지 싶네요... 역시 많은 국민들이 왜 그대들을 버렸는지 알겠네요."
511,집권당이 법을 우습게 여기는것은 어제 오늘  일이 아니지만 이런당이 재집권을 외친다니 국민들을 언제까지 우롱 할건가 기가차다
512,"발악을 하는구나...
정말 추하다!!"
513,"이것들은 툭하면 불법이야
더듬당에서 위법당으로 바꿔라
아무리급해도 그렇치 미성년자를. . 
니네는 완전 끝이야
대한민국에서추방"
514,왜 메인인데 댓글이 없누~ 민주당 댓글팀들 회의하나?
515,"정말 했구나. 나는 문빠입니다 라고 입이 닳도록 떠들어 대다가,이제는 유니폼에서 문빠도 빼고 민주당이라는 당명도 빼고, 미성년자를 선거에 동원하고 갈수록 악수만 두는 너희들의 정체성은 무엇이라니?"
516,"재난지원금, 지하철 요금 할인 가지고도 안되니 미성년자 그것도 고교 2학년을 꼬드겨 선거 연설원으로 ....발악을 하는구나 ? 성폭력당 민주당 ! 이번 선거는 왜 하는 거냐?"
517,신상공개해라제발좀 ...걍말하는것도질린다
518,"손목아지 발목아지 다잘라버리고싶다 ㅠ 자식잃은 부모심정은 얼마나 화나고 슬프고 억울할까 ..,진짜 이런건법이제발강화되서 사형에처해주세요 어린아기들은 죄가없어요 ..에휴  아기들이계속 죽으니 자식가진부모로써 참 가슴이아파요...."
519,저 인간 가슴에 코끼리 다리를 올려줘라~~~!!
520,"아이들은 죽어나가는데 판사들은 처벌이 가볍고
저들은 또 범죄를지르겟지
얼마나더 희생해야되는가"
521,저런인간은옛날형벌처럼능지처참이답이다!!어찌어린애기를~~나쁜사람
522,아기들은 정말 멀쩡해보여도 정말 조심해야해요.순두부처럼 약하고 여리여리한 몸이라서 ... 행동하나하나에 신경써줘야해요. 교사 자격증 박탈해라!
523,전국민이 저원장눕혀놓고 한번씩 밟을수있는 기회를 줘라
524,"미쳤다 진짜
왜들 그러는 거야 대체
어린이집에서 죽은 애가 벌써 몇이야
엄벌에 처해주세요"
525,"아가들 가지고 저런사람들 뇌를 한번 파보고싶다
무슨생각을 가지고있는지"
526,남의 귀한집 자식을 ㅠ
527,"이런인간이원장이야얼굴공개하고
어린이집문닫아라"
528,"대한민국 판사가  얘들죽이는거다
니들이 엄하게 처벌만해도 저런일은 생기지않는다
강력한엄벌해밧자 사람죽여도 꼴랑 5년처벌하는
거지같은 판사들아
니들이 죽이는거야"
529,"어이구가슴무너진다
여린아이재우려고
발로눌렀구나
진상조사철저히하여
엄하게다스리세요"
530,"저런것도 인간이라고ㆍㆍㆍ
갈기갈기 ㅉ ㅈ 버리고 싶다"
531,백신 가지고 정치화하지 맙시다. 저분들 누구보다 고생하시는거 다 아시잖아요.
532,지긋지긋하게 물고 늘어지네
533,"제발...다음아..샤벽부처 조즁동 보게하지 마라!!!
네이버보다 더 하네...
네아버로 이사가야겠규먼..."
534,이분 건들지마라!!¡!!!!!
535,"대통령, 질병본부장이 먼저 맞았으면  새치기했다는 멍멍소리했을 기레기?가 무슨 소리고??? 지금 확산세가 정부가 잘못해서 그런기가????? 직장내 감염 그럴수있다고 치자. 유흥주점 에서 감염된 건 우째 설명할래?? 까는건 좋다만  무조건 까지는 마라. 퉷"
536,"국짐들아!
넘지 말아야 할 선이 있다..
시작부터 끝까지 네가티브로 망하길 바라는 니들이 네가티브 어쩌고 할 일이냐? ㅉㅉ"
537,조중동은 역시 쓰레기 언론 인증
538,이런 쓰레기신문. 중아밀보 다니는 것들은 백신 놔주지마라. 다  코로나걸려 뒤져야 한다~
539,이게 신문 인가?
540,"고사를 지내라 고사를
나라 망하라고 난리를 치네
나라 망하면 너네는 괞찮냐?"
541,"왜 이렇게 방역에 태클을 걸지?
도대체 적폐세력은 인간인가, 버러지인가?"
542,"내가 그 이유를 말해 줄게.
국짐당과 조중동은 계속 Az맞으면 죽을 수 있다는 식으로 허위사실을 퍼뜨렸고, 극우  태극기부대 유튜버들은 유튜브방송으로 1만명 가까이 태극노인들 모아놓고 Az백신 맞지 말아야 한다고 의기투합하고 있었지.

국짐당을 지지하는 태극기부대 대부분은 대구 경북이야. 우리가 선거에서 국짐당 찍는건 전광훈 찍는거나 다름없는거지.

난 차라리 더 잘됐다고 생각해. 어차피 경상도만 선택적으로 화이자 놔주진 않아.  그렇게 접종거부 그냥하시고 국짐장 시장 만나 광화문집회들 열심히 하길 바래. 

정부는 Az만 놔라!"
543,"국짐당과 조중동의 불안감 조성이
보수 태극기 꼰대들의 감성을
자극해서 바보로 만들어 놨지.."
544,세계최악의  언론사 대한민국  ...
545,"찌라시 애쓴다
문통이  왜 먼저 맞냐고 무슨 특혜라도 누리는양  어거지를 쓰더니 이제는 늦게 맞았다고 난리.
억지를 부려도 분수가 있어라"
546,접종율 역주행..... 별 희한한 단어와 분석이 다 있네. 79 —⟩ 76 역주행... 그럼 65프로 쯤으로 떨어지면 방역실패? 반대로 다음 주에 80프로 나오면 정주행으로 대성공이라고 할 건가?  바보인 듯
547,"이제는 넌덜머리가 난다.
대한민국의 악의 축 조중동 당장 폐간시켜라."
548,아직 시작도 안되었는데 불안조성하는  중앙 어떻게 국민에게 희망을 주고 대안을 미리생각하는  언론은 힘든거냐?  언론이 비판은 하겟지만 우파정권일때는 명박 근혜의 폐단은 해외에서 시민단체에서 먼저제시해도 대변하고 호도해서 좋아졌는냐... 좋은 언론은 못대도 나쁜언론은 국민에겐 적보다 더 무서운 폐단을 이룬다...
549,"제목봐라 역시 종양일보 
너희들의 농간은 언제 끝이날까?
백신을 우리나라에서 생산한다는 기사는 어디갔나?"
550,"엊그제만 해도 백신 후유증으로 시민들 불안하게 만들더만 이제  백신 못온다니까 또 수급못한다고 
기사냐? 정말 지긋지긋한 적폐 기레기들. 끔찍하다."
551,"백신접종률 가장 높은 이스라엘 오늘 확진자 500명 나왔던데
인구 800만이다. 
우리 천만도시 서울에서 150명 나왔다고 난리나는 나라다. 
백신 안오는게 무슨 최악이라는거냐
오히려 백신 맞고 까불고 다니다가 확진자 더 늘어날까 그걸 걱정해야 할정도로 
우리는 백신없이 잘 관리되고 있는 나라다"
552,"백신 가지고 또 시작이냐 기레기야~
AZ백신생산 국내에서 생산하는걸 모르고 똥볼 차는거냐 ㅋㅋ
기레기야~능력없으면 딴일 알아봐 ㅋㅋ
언론 국민들한테 극협 만들쥐 말고 ㅋㅋ"
553,언론 개혁이 심각하네.
554,'다음' 은  정치검사 윤장군을 우상화하는 작업에 협조해선  않된다ㆍ 지속적으로 조중동  등 찌라시 언론들의  김정은 우상화하듯이 윤장군을 우상화하는 기사를 지속적으로 포스팅해선 않된다ㆍ다음은 역사를 왜곡하는 작업을 중단하라ㆍ
555,"일단 사망사고는 안타깝지만 우리가   그분이 윤석렬씨 친구인걸 알아야하나? 
기자님 자극적인 기사로 주목받고 싶은건 알겠지만  윤석렬씨가 뭐 그리 대단하다고 그분 친구 사망기사  관심 없습니다."
556,"기자야 기자야 윤  친구도 기사  거리냐?
아무리 띄워주고 싶어도 넘 과한 아부다
자존심도 없는  쓰레기들은 되지 맙시다"
557,"윤짜장 노출할라고 윤짜장 친구 죽은것도 기사화거리냐?
이걸 왜 국민이 알아야하는데~~
기레기놈아~~"
558,다음이 이상해 졌어요
559,"윤석렬친구는 죽으면 다 윤석렬친구로 기사쓸거냐?
참 기레기들 어지간이해라..똥구녕헐겠다"
560,"이게  기사인가?
윤석열이  죽은것도  아닌데
그냥  김 모씨  사망이지
윤석열  이름을  그렇게  기사에  올리고 싶으면  윤석렬장모    윤석렬 아내     이런거  기사에  써라요"
561,"와 진짜 할짓없네
윤석열 친구를 알아야되나"
562,"장모가 죽은거도아니고
개똥이나 김아모개가 죽은게 기사거리냐?"
563,"웃음 뿐이다.
윤석열 친구는 특별한 사람이냐?
멀리가도 너무 멀리간다."
564,"오세훈 내곡동 거짓말이나 기사좀 써봐요.
윤석열 친구가 죽은걸 우리가 왜 알아야하지?
이런것들이 기자인가? 이런게 기사인가?
와~  진심으로 역겹다!"
565,"난리났네 난리났어...

반도체 없다고 난리인데 더 심각해졌네...

삼전 주가 팍팍 오르겠구나"
566,삼성전자 가즈아
567,이거 왠지 일본 세작들이  배아파서 한것같은데 울나라 반도체 회사들 경비 강화해야겠내
568,삼성전자 반사 이익이네 ㅋ
569,무슨 반도체 회사가 저리 허접하냐.
570,호재인가요?
571,삼전가즈아~9층 구해주세요ㅋㅋ
572,화재사진 좀 올리면서 글써라.
573,"가지가지한다 정말
물 잘 나오고 정전없고 불 잘 안나는 나라 대한민국"
574,만우절인가..
575,그 방화가 혹시 본토중국 프락치에 의한 것이 아닌지 살펴볼일이다.
576,"이쯤 되면 누가 일부러 불내는거 같다..
ㅎ 말도안되는 우연이 계속 겹치네"
577,전기차타고  대견사까지 올라가면   등산안해도  꽃구경  할수있습니다
578,와우
579,자연보존이 잘 되있어 감사합니다
580,아~~~가보고 싶다!
581,좀 언론들 자제합시다
582,엄청난 진달래꽃이 만발했네요. 장관입니다 너무 아름다워요.
583,사람들  또   엄청몰려  가겠구만
584,진달래 꽃도 아름답지만 고지도와 역사 등 글이 아주 잘 썻다는 느낌....
585,절터가 아담하면서 멋스럽네요. 코로나 끝나면 한번 가보고싶군요.
586,참 멋진 곳이네요. 가보고 싶네유~~
587,"꽃은  향기와  풍경이 있는
또 하나의 마음속을
울리는 감동 꽃은
언제나 봐도 참 아름답습니다^^
진달래꽃은 멋있는거 
같습니다.^^"
588,"기자분 마삼 무학산이 아니고예
창원 천주산 입니다"
589,"1,000m 고지 참꽃이라 제일 이쁘겠네요"
590,"낚시던 해루질이던 한해 잡을수 있는 1인당 마릿수 정하고 채취한거 신고해서 카운팅 하게 해야함.
적당히 자기 먹을만큼만 잡지 무슨 장사할 수준으로 잡아대니 ㅉㅉ"
591,"ㅋㅋㅋ경찰이 못잡는거임
불법도구들고 야간 해루질하다 경찰와서 나오라고하면
도구 바다에 던지고 나오니까 불법아닌것처럼 보이지
야간에 하기땜에 뭘로하는지 안보여
그래서 차에서 내리고 해루질하러 들어가는것부터 찍어서 잡아넣어야됨"
592,"이제는 해루질 허가제를 하여 구역을 정하고
스쿠버들이 활동할 수 있는 구역도 정해야 할 것임."
593,동호회가 뭐냐 작작 좀 하자.
594,"해루질 할려고 다이버를 하나?
어휴 천박하기 그지없네."
595,"니들은 체험이지?
해녀.해남은 직장이거든!"
596,바다 국민들것인데 어촌보면 자기바다인줄 알고있음
597,둑도?  들이 많지요 어민들 건드리지 맙시다
598,그냥 다이빙만 해 왜 잡고 난리여?
599,지금 우리나라 바다는 다 어촌계꺼임.. 이거부터 바뀌어야 함...
600,"희룡이는 대선준비하느라
신경도 안써요 
주민들 생업따위는 아웃오브안중"
601,"바다에서 레저 한다는 동호회(바다 오염 주범 씨말기 잘함), 자전거 동호히(찻길 다 막음, 치고 가라는 마인드), 스포츠카 동호회(시끄럽게 도로 무법천지), 오토바이 동호회(똥폼 오지게 잡고 찻길 다 막음), 축구동호회(술판 벌이고 고기 파티, 쓰레기는 니들이 치워라), 등산 동호회(불륜과 쓰레기 천지 산림 훼손) 등 동호회 도움이 안된다."
602,농민에겐 땅이 터전이고 어부에겐 바다가 터전이다.
603,"댓글보니 잘 모르는 사람 많네
정리해줄게
1.허용된 도구를 사용하여 허용된 수산물을 잡는 것은 불법이 아님
2.판매를 위해선 맨손어업 신고를 해야 함-이게 도내300여명
3.야간에, 불법 도구를 쓰거나, 뿔소라, 해삼, 전복같은 채취금지 수산물을 잡아서 문제임
4.스킨스쿠버는 스킨다이빙+스쿠버다이빙을 합친 말인데, 스킨 다이빙으로 잡는것은 불법이 아님. 
스쿠버 장비를 착용하고 잡는것은 불법. 수중해루질은 스킨다이빙의 일종임."
